$$Source_Resource,$$Target_Resource,$$Map_Source_ID_Ref_list,$$Map_Target_ID_Ref_list,$$Map_Relationship,$Map_Confidence_Score,$Map_Coverage
A reference to a resource that has the source controls of a mapping.,A reference to a resource that has the target controls of a mapping.,A list of source reference IDs.,A list of target reference IDs.,The relationship type for the mapping entry.,An estimation of the confidence that this mapping is correct and accurate expressed as percentage.,An estimation of the percentage coverage of the targets by the sources.
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-19.4,ac-19.4,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-19.5,ac-19.5,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-20,ac-20,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-20.1,ac-20.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-20.2,ac-20.2,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-20.3,ac-20.3,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-20.4,ac-20.4,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-21,ac-21,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-21.1,ac-21.1,superset-of,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-21.2,ac-21.2,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-22,ac-22,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-23,ac-23,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-24,ac-24,superset-of,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-24.1,ac-24.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-24.2,ac-24.2,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-25,ac-25,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,at-1,at-1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,at-2,at-2,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,at-2.1,at-2.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,at-2.2,at-2.2,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,at-3,at-3,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,at-3.1,at-3.1,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,at-3.2,at-3.2,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,at-3.3,at-3.3,superset-of,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,at-4,at-4,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-1,au-1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-2,au-2,superset-of,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-3,au-3,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-3.1,au-3.1,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-4,au-4,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-4.1,au-4.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-5,au-5,superset-of,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-5.1,au-5.1,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-5.2,au-5.2,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-5.3,au-5.3,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-5.4,au-5.4,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-6,au-6,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-6.1,au-6.1,superset-of,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-6.3,au-6.3,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-6.4,au-6.4,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-6.5,au-6.5,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-6.6,au-6.6,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-6.7,au-6.7,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-6.8,au-6.8,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-6.9,au-6.9,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-7,au-7,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-7.1,au-7.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-8,au-8,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-9,au-9,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-9.1,au-9.1,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-9.2,au-9.2,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-9.3,au-9.3,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-9.4,au-9.4,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-9.5,au-9.5,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-9.6,au-9.6,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-10,au-10,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-10.1,au-10.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-10.2,au-10.2,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-10.3,au-10.3,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-10.4,au-10.4,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-11,au-11,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-11.1,au-11.1,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-12,au-12,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-12.1,au-12.1,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-12.2,au-12.2,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-12.3,au-12.3,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-13,au-13,superset-of,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-13.1,au-13.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-13.2,au-13.2,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-14,au-14,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-14.1,au-14.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-14.3,au-14.3,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-16,au-16,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-16.1,au-16.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,au-16.2,au-16.2,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ca-1,ca-1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ca-2,ca-2,superset-of,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ca-2.1,ca-2.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ca-2.2,ca-2.2,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ca-2.3,ca-2.3,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ca-3,ca-3,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ca-5,ca-5,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ca-5.1,ca-5.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ca-6,ca-6,superset-of,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ca-7,ca-7,intersects-with,100%,
